Age,Gender,Years at Company,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
51,Male,32,8287,Poor,High,Average,0,Yes,38,Associate Degree,Married,5,Senior,Small,82,No,No,Yes,Poor,Medium,Stayed
40,Male,8,4728,Good,Very High,Average,0,Yes,17,Master’s Degree,Divorced,2,Senior,Large,47,No,No,No,Good,Low,Stayed
50,Male,5,9596,Good,Medium,High,1,Yes,37,High School,Married,0,Entry,Small,65,No,No,No,Good,Very High,Stayed
56,Male,21,9349,Good,Low,Average,4,No,15,Bachelor’s Degree,Married,0,Entry,Small,66,Yes,No,No,Poor,Medium,Stayed
28,Male,11,5663,Excellent,Medium,Average,0,No,80,Associate Degree,Married,1,Senior,Medium,72,No,No,No,Good,High,Stayed
49,Male,9,8340,Good,High,High,1,No,73,Bachelor’s Degree,Single,0,Entry,Large,77,No,No,No,Fair,Low,Left
27,Male,9,6660,Fair,High,High,0,No,79,Associate Degree,Divorced,0,Mid,Medium,23,Yes,No,No,Poor,Very High,Stayed
21,Male,5,3107,Good,Very High,Average,0,No,9,Bachelor’s Degree,Single,1,Senior,Small,67,No,No,No,Good,Low,Left
43,Male,3,9265,Fair,Very High,High,0,No,75,PhD,Married,3,Entry,Large,70,Yes,No,No,Good,Low,Stayed
33,Female,25,6252,Poor,Low,High,2,No,7,Master’s Degree,Married,3,Mid,Small,77,Yes,No,No,Good,High,Stayed
28,Female,14,3259,Good,Very High,Below Average,0,No,24,Associate Degree,Divorced,2,Mid,Medium,85,No,No,No,Good,Low,Left
31,Male,6,8030,Excellent,Medium,Average,1,No,73,Bachelor’s Degree,Single,1,Entry,Medium,43,Yes,No,Yes,Good,Low,Stayed
18,Female,8,8869,Poor,High,Average,1,No,58,High School,Married,0,Entry,Medium,37,No,No,No,Excellent,Medium,Left
34,Male,19,7873,Good,Very High,Average,0,No,10,Associate Degree,Married,0,Mid,Medium,23,No,No,Yes,Good,Low,Left
43,Male,7,5607,Excellent,High,Average,1,No,41,Bachelor’s Degree,Married,5,Mid,Large,81,No,No,No,Good,Low,Stayed
19,Male,9,5820,Good,Medium,High,2,No,78,High School,Married,1,Mid,Small,47,No,No,No,Poor,Low,Stayed
27,Female,13,10216,Good,High,High,0,No,97,Master’s Degree,Married,3,Entry,Medium,49,No,No,Yes,Poor,Low,Stayed
52,Male,11,9534,Good,Medium,High,1,No,94,Master’s Degree,Married,0,Mid,Small,42,No,No,No,Fair,High,Left
40,Male,17,7956,Fair,High,Average,0,No,24,High School,Married,0,Mid,Large,66,No,No,No,Good,Medium,Stayed
53,Male,7,8225,Good,Very High,Average,2,Yes,9,Bachelor’s Degree,Married,3,Senior,Small,85,No,No,No,Excellent,High,Stayed
30,Male,1,7198,Excellent,High,Below Average,0,No,42,Bachelor’s Degree,Married,5,Entry,Medium,2,No,No,No,Good,Medium,Stayed
39,Male,20,5962,Fair,Very High,Below Average,4,No,54,Bachelor’s Degree,Single,1,Entry,Medium,95,No,No,No,Good,Medium,Left
37,Male,14,7356,Good,Low,Below Average,1,No,34,Associate Degree,Married,3,Entry,Small,15,No,No,No,Good,High,Stayed
42,Female,23,5508,Fair,Low,Below Average,0,No,74,Bachelor’s Degree,Married,2,Mid,Large,24,No,No,No,Poor,Medium,Left
58,Female,34,8004,Good,High,Average,1,No,2,Bachelor’s Degree,Married,1,Entry,Large,57,No,No,Yes,Good,High,Left
27,Male,13,6170,Fair,High,Below Average,0,No,92,Bachelor’s Degree,Divorced,0,Mid,Small,49,No,No,No,Good,Medium,Left
55,Female,42,7118,Good,Very High,Average,0,Yes,14,Master’s Degree,Married,2,Mid,Medium,53,No,No,No,Good,Low,Stayed
45,Male,7,5908,Good,Medium,High,0,No,1,Bachelor’s Degree,Married,1,Senior,Medium,31,No,No,No,Excellent,Medium,Stayed
